paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_method,partition_final_train_size,partition_test_size,partition_pool_rows,partition_remaining_rows_after_test_split,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size,fleiss_kappa_global_macro
centralized,0.5,1.0,42,0.7389421947467939,0.6056007820521264,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.6179016001288686,0.802097830745066,0.6481605293292918,0.739075245692059,0.5764819916224315,0.6154023301252969,0.5798590071279138,0.5152943743916071,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,
local,0.5,1.0,42,0.39347996536629404,0.4396495945376355,0.011510263693617162,0.04837004479824876,0.009804886823985726,0.04780131603168945,0.012859944719821215,0.05389363004329304,0.01086443737949594,0.0436826564150552,0.012511785851165769,0.04810257670295735,0.42908156313789003,0.4607209008258037,0.4004166250352001,0.4660601629246866,0.3250514334088062,0.3997003339490789,0.41937023988328,0.4321169804509729,0.18567087055706125,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,0.1636048326791926
federated,0.5,1.0,42,0.7016122977864517,0.5880213296945562,0.0006193132212501951,0.0037466274602726726,0.0011716376757249236,0.007176907279839119,0.0011410954175516963,0.005044844175378482,8.796278416411951e-05,0.0007781635151865581,7.65570075600408e-05,0.001986594870686531,0.7541825445824978,0.6017263015933941,0.7403692704958376,0.6205856741478141,0.6535248080621224,0.5565588014831215,0.6583725680053488,0.5732145415538951,0.5046462295188024,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,
centralized,0.5,2.0,42,0.7389421947467939,0.6165967058883718,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.6314884460264185,0.802097830745066,0.6618616414835751,0.739075245692059,0.5936457770922371,0.6154023301252969,0.5793909589512561,0.49620417607044004,0.5,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5882864074647645,0.4721217425537594,3153,6535,1185.6293687320672,
local,0.5,2.0,42,0.4046253474423642,0.4850597191129289,0.0016311619299813173,0.011487204358540474,0.0036077690310776234,0.023271078780169287,0.0026834012125618754,0.016572247181584433,0.0001426465816621203,0.003556708199903369,9.083089462365024e-05,0.0025487832725048067,0.44957828075459794,0.5245384426267156,0.42070409994701985,0.5276360134268951,0.33102339583343954,0.4295748379877458,0.4171956132343997,0.4584895824103589,0.27833833381532924,0.5,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5882864074647645,0.4721217425537594,3153,6535,1185.6293687320672,0.19568568844048767
federated,0.5,2.0,42,0.670627080662177,0.5944064373970698,0.0006923864239070099,0.003457543853825579,0.0012493892572820187,0.005461407105127971,0.001375594176352024,0.0072072378359735005,7.792834367137402e-05,0.00040556010790169237,6.663391832262278e-05,0.0007559703662991524,0.7161497132805605,0.6193920393899397,0.6901771347447258,0.6392326798168376,0.6332177129670838,0.5566756578760652,0.6429637616563382,0.5623253725054363,0.508861411434399,0.5,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5882864074647645,0.4721217425537594,3153,6535,1185.6293687320672,
centralized,0.5,4.0,42,0.7389421947467939,0.5905456706804431,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.5975815478599776,0.802097830745066,0.6324905729900463,0.739075245692059,0.5687484541586182,0.6154023301252969,0.5633621077131303,0.473223619237906,0.5,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6670099450763596,0.440138287121429,3531,5969,837.8189541899849,
local,0.5,4.0,42,0.40076943845832214,0.4800603153783465,0.001620661017295788,0.011923559520948524,0.0034595599630847574,0.022343905594324073,0.002779811294749379,0.018379226381828387,0.00015628196779289284,0.004654526908245559,8.699084355612285e-05,0.002316579199396074,0.44047535713732533,0.5156641033057792,0.41866565123153315,0.5214905786543756,0.3070712006436245,0.43213637237820424,0.43686554482080553,0.4509502071750271,0.28774002681694677,0.5,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6670099450763596,0.440138287121429,3531,5969,837.8189541899849,0.18155471302499265
federated,0.5,4.0,42,0.673279915180465,0.5739398243990803,0.0007024911446933402,0.0038079095595749094,0.0012818414252251387,0.004952553105851015,0.0013447640230879188,0.007081624732663234,8.708281529834494e-05,0.00024380438200508555,9.627631516195834e-05,0.002953656017780304,0.7298965179123691,0.5828121258551658,0.6858827987146969,0.6149675623625931,0.6312723798077374,0.5430812627403603,0.6460679642870569,0.5548983466382019,0.47505752371358956,0.5,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6670099450763596,0.440138287121429,3531,5969,837.8189541899849,
centralized,0.5,8.0,42,0.7389421947467939,0.5875290989283245,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.5942397234051721,0.802097830745066,0.6168920445687343,0.739075245692059,0.5743649768351535,0.6154023301252969,0.5646196509042384,0.42849365060888167,0.5,8.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6929490437233555,0.40360404174986064,1941,5837,1058.472956669182,
