paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size
federated,0.1,2.0,42,0.6037215530342669,0.5849493584320425,0.0006133858441899065,0.002155469528088967,0.0012125876965001225,0.002758477210998535,0.0011103396536782384,0.005500073338548342,9.335293725598603e-05,6.751948967576027e-05,3.7263089325279e-05,0.0002958080731332302,0.7537072039825278,0.6265816544401003,0.7001588316902128,0.6537233956472732,0.37520409673905153,0.5090956761893305,0.5858160797252756,0.5503967074514661,0.5381337069666602,1.0,0.1,2.0,Risk_Category_Composite,100,0.5903549279255034,0.5076662753226219,629,11627,2860.302221794054
centralized,0.1,10.0,42,0.7603911801143792,0.6731815292425414,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6984082868980478,0.8186975270168998,0.7248231057976134,0.649784704401065,0.6391870887053971,0.7395764364778438,0.6303076355691072,0.54949364413312,1.0,0.1,10.0,Risk_Category_Composite,100,0.42025999369184885,0.5559208008135732,2510,7699,1318.7541089983379
local,0.1,10.0,42,0.3775348345365239,0.4594299393685365,0.0015355291287050933,0.009571055651269854,0.0031589839258231223,0.01872918630602459,0.0027157975011505185,0.012874331459527216,0.00017271891920245253,0.0032872966025024653,9.461616864427924e-05,0.003393408237025142,0.5026311397763615,0.5778074949868826,0.4325950183769738,0.5319572463343882,0.2680126189853947,0.36062424562980394,0.3069005610073657,0.36733077052307134,0.27896100775162286,0.20437497456088516,0.1,10.0,Risk_Category_Composite,100,0.42025999369184885,0.5559208008135732,2510,7699,1318.7541089983379
federated,0.1,10.0,42,0.5809156051640207,0.579329719861707,0.0006756236880391953,0.0020454479313145083,0.0013918437762185931,0.004046875976026059,0.001150111318565905,0.00379561165223519,0.00011593258386710659,0.00023840274661779404,4.460707350517623e-05,0.00010090135037899017,0.7258686361513297,0.6591918861679744,0.7031731112804507,0.668095787236579,0.35609402933002987,0.46439936512658786,0.5385266438942726,0.5256318409156866,0.6603418893497417,1.0,0.1,10.0,Risk_Category_Composite,100,0.42025999369184885,0.5559208008135732,2510,7699,1318.7541089983379
centralized,0.25,0.1,42,0.7603911801143792,0.6414273114690228,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6587999995298023,0.8186975270168998,0.6928030492096448,0.649784704401065,0.5579934596026693,0.7395764364778438,0.6561127375339747,0.7240906555496414,1.0,0.25,0.1,Risk_Category_Composite,100,1.2420527549485378,0.5011579746167523,100,37376,11210.257329785076
local,0.25,0.1,42,0.27833750659340817,0.3695057304574802,0.1074909584838224,0.2680345960503677,0.10370744510437362,0.26443036382558444,0.0829634882771643,0.23534960989852743,0.12398640836545383,0.2900308620477406,0.11930649218829785,0.28232754842961827,0.2993916398792152,0.3647777092623016,0.3013029725277384,0.40155815391820804,0.2376099593488883,0.35408420883482944,0.2750454546177907,0.35760284981458174,0.22021111357650408,0.05909053402880278,0.25,0.1,Risk_Category_Composite,100,1.2420527549485378,0.5011579746167523,100,37376,11210.257329785076
federated,0.25,0.1,42,0.7425534361126586,0.6356272520616999,0.0004018176286990638,0.0030075727314688265,0.0009492129320278764,0.0067546913276116055,0.0005737706087529659,0.004011902675032615,4.9780181143432856e-05,0.0009434593276431163,3.4506792871979997e-05,0.0003202375955879688,0.796005394076854,0.6536877465852512,0.7839935512566208,0.6852181292143283,0.7474428448090981,0.5997776358540284,0.6427719543080611,0.6038254965931915,0.7455415873703601,1.0,0.25,0.1,Risk_Category_Composite,100,1.2420527549485378,0.5011579746167523,100,37376,11210.257329785076
centralized,0.25,0.25,42,0.7603911801143792,0.6585220964208629,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6677199896829614,0.8186975270168998,0.7330773949786359,0.649784704401065,0.5827991307101794,0.7395764364778438,0.6504918703116749,0.6895633131493143,1.0,0.25,0.25,Risk_Category_Composite,100,1.0873038692791952,0.618961749119446,100,25628,8071.56024570219
local,0.25,0.25,42,0.32325805724857,0.3929078412187065,0.07004730530470624,0.17823438289978852,0.05430122558027506,0.15562871687710286,0.06384706717799418,0.17196528940200806,0.08402282808820019,0.1937202771977832,0.07801810037235554,0.19162324812225998,0.3660132709517901,0.3917986146402386,0.3549569547004969,0.4297787712097517,0.25602841952125055,0.37059178104242163,0.31603358382074237,0.3794621979824141,0.18134453458026384,0.07916269989709687,0.25,0.25,Risk_Category_Composite,100,1.0873038692791952,0.618961749119446,100,25628,8071.56024570219
federated,0.25,0.25,42,0.7296032380992682,0.6463831301257804,0.0003675747952911479,0.002765162900555879,0.0008634187979623675,0.004057092204689979,0.0005320319905877113,0.004625163663178683,4.63008473161608e-05,0.0015069786217063667,2.8547545298351906e-05,0.0008714171126484871,0.7966670631140015,0.6365928178671864,0.7984764598567059,0.7121378764276156,0.6686080624584511,0.6122615733340858,0.6546613669679142,0.6245402528742342,0.6890963639826505,1.0,0.25,0.25,Risk_Category_Composite,100,1.0873038692791952,0.618961749119446,100,25628,8071.56024570219
centralized,0.25,0.5,42,0.7603911801143792,0.6556718163514279,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6827663487685309,0.8186975270168998,0.6930598159374443,0.649784704401065,0.609190767390801,0.7395764364778438,0.6376703333089356,0.5534160169348319,1.0,0.25,0.5,Risk_Category_Composite,100,0.7811446179492496,0.6050768184907411,109,20513,6355.373269918928
local,0.25,0.5,42,0.3359110537707794,0.4066221627852966,0.03303397140648485,0.09851657515416931,0.032495415979065,0.09581906369018059,0.03391114730911795,0.09811685074965158,0.039168329085805455,0.10498485751675131,0.026560993251951003,0.09514552866009376,0.3829766910030814,0.43918060171424766,0.3831340561858823,0.4460714812173158,0.24844141115086815,0.36515200450156876,0.3290920567432858,0.3760845637080542,0.18224428565012335,0.0983261959767506,0.25,0.5,Risk_Category_Composite,100,0.7811446179492496,0.6050768184907411,109,20513,6355.373269918928
federated,0.25,0.5,42,0.6709182419226868,0.6394508997120885,0.0004642377007257892,0.002132484708291789,0.0010460681514814496,0.00247329535583655,0.0007248233305290341,0.005522610540191333,5.2683073590742424e-05,9.71602275967598e-05,3.337624730193056e-05,0.0004368727095425129,0.7791421791063632,0.6641149270601309,0.7226518033164456,0.6896399611884592,0.5372278736285901,0.5907606700987539,0.6446511116393482,0.6132880405010099,0.608147496670891,1.0,0.25,0.5,Risk_Category_Composite,100,0.7811446179492496,0.6050768184907411,109,20513,6355.373269918928
centralized,0.25,0.75,42,0.7603911801143792,0.6232900202624931,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6294858950778023,0.8186975270168998,0.6734406694014733,0.649784704401065,0.5834328730977264,0.7395764364778438,0.6068006434729708,0.4604120838463979,1.0,0.25,0.75,Risk_Category_Composite,100,0.7504646074825421,0.6302503810525695,159,17692,5486.175534924124
