paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_method,partition_final_train_size,partition_test_size,partition_pool_rows,partition_remaining_rows_after_test_split,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size,fleiss_kappa_global_macro
federated,0.25,16.0,42,0.5579455887156348,0.5425939904267645,0.0008276482185465284,0.0035576604188730316,0.0015817220555618405,0.007296395086993773,0.0015232759760692716,0.005395127534866333,0.00012827859609387815,0.0009311819449067116,7.731624646112323e-05,0.0006079371087253094,0.6703231232718082,0.5816638025097957,0.6593080048320833,0.6155491606900236,0.38107545602639953,0.4770202556951226,0.5210757707322483,0.4961427428121161,0.5479176373227195,0.25,16.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8012455410670375,0.4449506300383995,2582,5526,796.639818236573,
centralized,0.25,50.0,42,0.7511819113906512,0.5781032427695777,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.5949824088573886,0.8368028879146531,0.6187242603932089,0.6069625743886949,0.5549296042126063,0.7314227969364971,0.5437766976151068,0.45104198738247064,0.25,50.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7662603150257296,0.4306316108619388,3528,5215,445.1087507564865,
local,0.25,50.0,42,0.3189532490601441,0.4195679020365598,0.001918360165291233,0.014676572360393282,0.004105993185658008,0.02914588377028704,0.003267049533315003,0.020546659760798017,0.00018756455683615058,0.004976203083060682,0.00011283338535577059,0.004037542827427387,0.40549469689319223,0.49729943931942067,0.3160105130138633,0.45657498554950404,0.2548491239434101,0.3611144309079232,0.29945866239011065,0.36328275236939145,0.26904009166755316,0.25,50.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7662603150257296,0.4306316108619388,3528,5215,445.1087507564865,0.14283795706503902
federated,0.25,50.0,42,0.5445044804982927,0.5410622335355607,0.0008298851880681468,0.003795322901258866,0.0015608621761202812,0.008977902134259542,0.0015496794367209077,0.004886347544689973,0.0001291564549319446,0.0006450540386140347,7.984268449945375e-05,0.0006719878874719143,0.661517758951683,0.5856088304370327,0.6549103457993786,0.6104454476425801,0.36476952756279485,0.48058658010318916,0.4968202896793142,0.4876080759594408,0.5721693432823461,0.25,50.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7662603150257296,0.4306316108619388,3528,5215,445.1087507564865,
centralized,0.5,0.25,42,0.7511819113906512,0.5810413598450765,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.6012115474850357,0.8368028879146531,0.6102076951621739,0.6069625743886949,0.5657225590199436,0.7314227969364971,0.5470236377131528,0.45735332170153875,0.5,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5447422060587135,0.2026051870715343,102,13453,4610.737576570586,
local,0.5,0.25,42,0.3402551663094967,0.4041490306269613,0.040413239770805374,0.10780750343504672,0.03622666413430124,0.10741559917281071,0.026916735112899916,0.08734266117500764,0.048384106586308914,0.11829388152472675,0.050125453249711426,0.1181778718676418,0.4202865558506555,0.43575428328574867,0.39719659494287207,0.4486646956625056,0.24046697445824972,0.35607695856395466,0.3030705399862095,0.37610018499563613,0.17415688138177415,0.5,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5447422060587135,0.2026051870715343,102,13453,4610.737576570586,0.10363231620875545
federated,0.5,0.25,42,0.7055509181305232,0.5871000358840365,0.00046479613502015127,0.0014133292927096287,0.0008951902273111045,0.0020989338358243306,0.0008465821738354862,0.003096800805379947,6.580921035492793e-05,0.0003043203614652157,5.160292857908644e-05,0.0001532621681690216,0.776582004210594,0.5807969722747562,0.8034180041707278,0.6316307037491969,0.5629092542136175,0.5717986001161782,0.6792944099271531,0.5641738673960145,0.46268378160146584,0.5,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5447422060587135,0.2026051870715343,102,13453,4610.737576570586,
centralized,0.5,0.5,42,0.7511819113906512,0.6034686999159635,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.6190720543147746,0.8368028879146531,0.6312638514569638,0.6069625743886949,0.5779680411439355,0.7314227969364971,0.5855708527481801,0.3932571168807113,0.5,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7778631809155032,0.5927750039804034,168,10820,3486.2740569266784,
local,0.5,0.5,42,0.33323684745260523,0.42943942592014167,0.028976995694756622,0.08051341893756764,0.03905305933440104,0.09709092205800116,0.020814144785981627,0.07289347541307409,0.03308389796948177,0.08342301399124166,0.022956880689162063,0.06864626428795359,0.40996632838357155,0.5014282998576929,0.362488420304625,0.46842138435532626,0.2553048015620896,0.3839426997378194,0.3051878395601348,0.3639653197297281,0.20168048109407738,0.5,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7778631809155032,0.5927750039804034,168,10820,3486.2740569266784,0.11901105197488736
federated,0.5,0.5,42,0.6641615305395602,0.5811730355696598,0.0005559291003010003,0.00238018831020842,0.001042886869981885,0.003712986369927724,0.001047826954163611,0.005453922500212987,7.846832886571065e-05,9.452831000089645e-05,5.453424819279462e-05,0.0002593160606920719,0.757881739945978,0.593004662105507,0.7723550501610674,0.6166966630893319,0.4698914100341718,0.5492817051820561,0.6565179220170231,0.5657091119017443,0.4071618472586648,0.5,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7778631809155032,0.5927750039804034,168,10820,3486.2740569266784,
centralized,0.5,1.0,42,0.7511819113906512,0.5897871751034458,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.6040584320383703,0.8368028879146531,0.6333677554322609,0.6069625743886949,0.5602564094510616,0.7314227969364971,0.5614661034920906,0.5054590666329117,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,
local,0.5,1.0,42,0.31780440407330063,0.39771591029212294,0.009946273750756518,0.04634019441225877,0.01346337191062048,0.05883943785714606,0.009775836090557277,0.047043602664520345,0.009182300622342154,0.043033455932637056,0.007363586379506159,0.0364442811947316,0.40136231530695354,0.43614317898024757,0.3284400180863743,0.42966048339706003,0.23808715212557274,0.3621119078215511,0.30332813077430193,0.362948070969633,0.19468883894559103,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,0.12230056729643488
federated,0.5,1.0,42,0.6430736822422093,0.5820540341409449,0.0005815723052364774,0.0035436883022387823,0.00114860397297889,0.005992279425263404,0.0010371695971116424,0.005581128713985284,8.048366726143286e-05,0.0011600032448768616,6.003198359394446e-05,0.0014413418248295784,0.7439735182515732,0.60094461468132,0.7301178169616084,0.6139449976039999,0.4520533002153657,0.5517691293963578,0.6461500935402898,0.5615573948821019,0.5087048735140008,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,
centralized,0.5,2.0,42,0.7511819113906512,0.6122616194484136,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.6348782814793922,0.8368028879146531,0.6594771526147808,0.6069625743886949,0.5866451002324151,0.7314227969364971,0.5680459434670663,0.48621384776962073,0.5,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5882864074647645,0.4721217425537594,3153,6535,1185.6293687320672,
