paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_method,partition_final_train_size,partition_test_size,partition_pool_rows,partition_remaining_rows_after_test_split,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size,fleiss_kappa_global_macro
federated,0.25,16.0,42,0.4636743116969038,0.4587583463519892,0.00084409305054578,0.003817157476209104,0.0014284797944128513,0.006260976403951645,0.0016811199020594358,0.005593431461602449,0.00015633521252311766,0.0027256724424660206,0.00011043729318771511,0.0006885495968163013,0.6582846811410296,0.5950791457628726,0.5912478253647315,0.5969057854774458,0.2703349181545694,0.30804501270664436,0.3348298221272847,0.3350034414609942,0.6731087547819796,0.25,16.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8012455410670375,0.4449506300383995,2582,5526,796.639818236573,
centralized,0.25,50.0,42,0.7530718281216868,0.5951634115323106,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6033577783937328,0.8047580610509734,0.6083377185294655,0.7196448811429198,0.5842497246889037,0.6728679372746393,0.5847084245171402,0.4681196579642378,0.25,50.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7662603150257296,0.4306316108619388,3528,5215,445.1087507564865,
local,0.25,50.0,42,0.3415937303769503,0.4358430605504947,0.0017279515781410736,0.013048736596088082,0.0037947932607494293,0.025878491335734728,0.002826922992244363,0.01745948519955079,0.0001689347656792961,0.00461341399778612,0.00012115529389120639,0.00424355585128069,0.43011221060571164,0.5184320375159877,0.3759590910454713,0.49612950842544423,0.2875956435916632,0.3894597569817372,0.2727079762649551,0.33935093927880977,0.26579298798855505,0.25,50.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7662603150257296,0.4306316108619388,3528,5215,445.1087507564865,0.15876805446007333
federated,0.25,50.0,42,0.46937894293991506,0.46052727075534466,0.0008842677143547917,0.003686052113771438,0.0015612548450008035,0.007255722982188065,0.0017123667057603598,0.004908680031696954,0.00015105653437785804,0.0014554699882864952,0.00011239277228014544,0.001124335452914238,0.6759782195752018,0.5975209078496055,0.5818809326840133,0.5997104737872954,0.29268215239977124,0.31845676013500146,0.3269744671006738,0.32642094124947635,0.675923438916024,0.25,50.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7662603150257296,0.4306316108619388,3528,5215,445.1087507564865,
centralized,0.5,0.25,42,0.7530718281216868,0.6085253948542533,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6188239254149228,0.8047580610509734,0.6145423804964164,0.7196448811429198,0.6094497440228884,0.6728679372746393,0.5912855294827857,0.4942893425250188,0.5,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5447422060587135,0.2026051870715343,102,13453,4610.737576570586,
local,0.5,0.25,42,0.34863825090808526,0.4058556478887714,0.031011110301915324,0.08879103302874913,0.027842875570058823,0.08771680678141613,0.022846828133333476,0.07782636195023855,0.03470071146293776,0.08966287025076647,0.03865402604133124,0.09995809313257535,0.4325075857456292,0.44944941670460753,0.4147409914812307,0.4543650356504553,0.27834396826232577,0.3715912204250398,0.26896045814315556,0.34801691877498275,0.1694183747870483,0.5,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5447422060587135,0.2026051870715343,102,13453,4610.737576570586,0.11800838075054428
federated,0.5,0.25,42,0.60330700867891,0.5505994903300828,0.00046456927339022513,0.0035355277104148018,0.0009780089603736997,0.00607891128088037,0.0007350897649303079,0.005591687828302383,7.727082265773788e-05,0.0017317277525241176,6.790754559915513e-05,0.0007397839799523354,0.791640533991564,0.5895876141743405,0.745720393080397,0.6260220580910298,0.4279197138628829,0.5087402280433823,0.44794739378079584,0.4780480610115787,0.5798611314204197,0.5,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5447422060587135,0.2026051870715343,102,13453,4610.737576570586,
centralized,0.5,0.5,42,0.7530718281216868,0.6081895142924528,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6301363442818557,0.8047580610509734,0.6247275614629445,0.7196448811429198,0.5939095554068392,0.6728679372746393,0.5839845960181719,0.4175644028627188,0.5,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7778631809155032,0.5927750039804034,168,10820,3486.2740569266784,
local,0.5,0.5,42,0.3391213844384292,0.423842263608604,0.018601104567096627,0.06257259993394837,0.020456240500789136,0.06815318137345214,0.02566005679545924,0.07428468490615489,0.012564127479708986,0.050739315469190485,0.015723993492429145,0.05711321798699598,0.4225140557614476,0.4970981422974101,0.35953292380890667,0.45944891842396746,0.27657430399133254,0.3829111167749975,0.2978642541920301,0.3559108769380411,0.18181661828773416,0.5,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7778631809155032,0.5927750039804034,168,10820,3486.2740569266784,0.12209189522682912
federated,0.5,0.5,42,0.5817688744586188,0.5540684501130085,0.0005509879338205792,0.003446337185179194,0.0010855663567781448,0.0077700059923032925,0.0009681722149252892,0.004269199999670188,8.13115548226051e-05,0.0007519912905991077,6.890160875627771e-05,0.000994151458144188,0.7540027231286839,0.6036719743293273,0.7223347487918396,0.6215893023824404,0.40861604101230187,0.503937655682884,0.44212198490164994,0.4870748680573828,0.5493652998766079,0.5,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7778631809155032,0.5927750039804034,168,10820,3486.2740569266784,
