paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,disagreement_per_client_macro,disagreement_global_macro,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro
local,0.1,0.75,42,0.4043187345697165,0.47095647793092216,0.013294655988829618,0.04808497769364234,0.00991859338246286,0.03872724143577119,0.013609185221139342,0.04894699603902797,0.01584444322143099,0.05354799500467877,0.013806402130285278,0.051117678295091416,0.5130370311140924,0.5504537161424281,0.4698529081024878,0.540776550884242,0.2889270041486668,0.3978232087849924,0.34545799491361895,0.3947724359120261,0.9943333333333334,0.9651666666666666,0.20744530228192282,0.20431227578656727
federated,0.1,0.75,42,0.6471931904274949,0.6952900323180984,0.0004798595382453641,0.002876710177088777,0.001047800062224269,0.0055254724249243735,0.0007667697500437498,0.004758757809797923,6.969347305130213e-05,0.000597379170358181,3.517486766213551e-05,0.0006252313032746315,0.7792910300320562,0.7820808200820338,0.7495683808157162,0.7778200288248556,0.4190046366592702,0.5954905532778098,0.6409087142029372,0.6257687270876944,0.16499999999999998,0.0,0.9248303802767137,1.0
centralized,0.1,1.0,42,0.7603911801143792,0.7780689135356857,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.8197159789485013,0.8186975270168998,0.819498268316713,0.649784704401065,0.7432237023003064,0.7395764364778438,0.7298377045772222,0.25966666666666666,0.0,0.8960626400096855,1.0
local,0.1,1.0,42,0.40097988326896494,0.47240151579281175,0.017681906691086623,0.058122383288169904,0.01613326605875045,0.05438029953824978,0.02086302638053894,0.06271438004585604,0.016877319883496965,0.058018212443838514,0.01685401444156014,0.057376641124735284,0.5148234223279536,0.5570069154452171,0.46539668602406276,0.5414746495650828,0.2743107392005707,0.38412910241293247,0.3493886855232726,0.4069953957480147,0.9940833333333333,0.929,0.22713441709912743,0.22709464270888224
federated,0.1,1.0,42,0.6355028197173005,0.6913552521734352,0.000480663816233573,0.0037879573895285524,0.0010856424923986197,0.004473717033863068,0.0007292295340448618,0.007916284742454687,7.00249511282891e-05,0.0014743311330676079,3.7758287362521514e-05,0.0012874966487288475,0.7661406426914636,0.7651266462872651,0.7377606157626726,0.7784845216057401,0.4110967651720691,0.6024387399758344,0.6270132552429964,0.6193711008249013,0.22758333333333333,0.0,0.9123957261434474,1.0
centralized,0.1,1.5,42,0.7603911801143792,0.7844247747861549,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.8324396597513303,0.8186975270168998,0.8272051006441016,0.649784704401065,0.7510368062332247,0.7395764364778438,0.7270175325159635,0.08458333333333334,0.0,0.9574092738704397,1.0
local,0.1,1.5,42,0.4291340631068601,0.5133635920151324,0.0011472837188193806,0.004163852832994114,0.0022019769996404646,0.007213428227975964,0.002162859030067921,0.006509753186504046,0.00015330775786424056,0.001543148560449481,7.099108770489693e-05,0.0013890813570469618,0.5889119731248946,0.6232385747379368,0.46694024443619586,0.5960510308913519,0.3028333817926856,0.4100159554434252,0.35785065307366437,0.42414880698781554,0.9101666666666667,0.9029166666666666,0.3616360160794443,0.35822122417054164
federated,0.1,1.5,42,0.5855329312028581,0.6421321816224334,0.0006201400074132835,0.00525178333837539,0.0013936128234490752,0.011041454962144297,0.000928548804949969,0.006567194772263367,0.00010680910054361448,0.0016313930973410606,5.158930071047507e-05,0.0017670905217528343,0.7290049287763871,0.7463709944416349,0.7050075867746743,0.7485112517605459,0.3604163686576287,0.5139321969315779,0.5477028406027422,0.5597142833559747,0.07733333333333334,0.0,0.9618427310791087,1.0
centralized,0.1,2.0,42,0.7603911801143792,0.7843867694820014,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.831848496839557,0.8186975270168998,0.8261538079130529,0.649784704401065,0.7509586648840895,0.7395764364778438,0.7285861082913062,0.07083333333333333,0.0,0.9655070161185558,1.0
local,0.1,2.0,42,0.43395172837229495,0.5056095427937202,0.001131546651777171,0.0037738588827972612,0.002123731281608343,0.007980977284535765,0.002167666552122682,0.0043869470940281945,0.00015968730731401591,0.0016324369236826897,7.510146606364288e-05,0.0010950742289423943,0.5828078137901773,0.6321778262587383,0.4815815863236595,0.595326570884603,0.30130920836209596,0.392427639576141,0.37010830501324693,0.40250613445539835,0.91025,0.9214166666666667,0.34833830404836347,0.341025229037933
federated,0.1,2.0,42,0.5826971397447162,0.6415517455984834,0.0006338014673019643,0.0048325210011874635,0.0013791482197120786,0.009394317568590244,0.000997378840111196,0.0056336987540125845,0.00010617261432344094,0.0023379800841212273,5.2506195061141625e-05,0.001964087598025799,0.7376169880590066,0.7519061841624478,0.6919282588499921,0.7321926443520357,0.3510573028367056,0.517192147253907,0.5501860092331604,0.5649160066255429,0.06808333333333333,0.0,0.9662249243104889,1.0
